level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	950	332	-1.0	
2	1	1	0	0	0	372	181	444	116	-1.0	
3	1	1	1	0	0	372	181	444	116	-1.0	
4	1	1	1	1	0	645	181	171	24	-1.0	
5	1	1	1	1	1	645	182	27	18	95.328125	+1
5	1	1	1	1	2	678	181	138	24	95.328125	Transcription
4	1	1	1	2	0	686	208	90	19	-1.0	
5	1	1	1	2	1	686	210	47	17	93.719551	start
5	1	1	1	2	2	740	208	36	19	96.808395	site
4	1	1	1	3	0	372	273	192	24	-1.0	
5	1	1	1	3	1	372	274	51	18	96.452682	RNA
5	1	1	1	3	2	430	273	134	24	96.316986	Polymerase
