level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1340	874	-1.0	
2	1	1	0	0	0	53	35	1197	781	-1.0	
3	1	1	1	0	0	53	35	1197	781	-1.0	
4	1	1	1	1	0	58	35	373	56	-1.0	
5	1	1	1	1	1	58	35	205	56	93.294151	visual
5	1	1	1	1	2	331	46	100	29	52.882561	Mel
4	1	1	1	2	0	452	131	258	24	-1.0	
5	1	1	1	2	1	452	131	86	24	96.493332	Primary
5	1	1	1	2	2	548	132	51	18	96.764275	RNA
5	1	1	1	2	3	606	131	104	24	96.516571	transcript
4	1	1	1	3	0	332	164	639	33	-1.0	
5	1	1	1	3	1	332	164	78	33	21.481304	|
5	1	1	1	3	2	421	167	58	21	59.574009	Exon
5	1	1	1	3	3	489	167	7	20	52.531609	4
5	1	1	1	3	4	517	144	79	67	37.136925	Intron
5	1	1	1	3	5	612	144	96	67	0.0	"ExOR2"""
5	1	1	1	3	6	718	144	74	67	27.983608	Intron
5	1	1	1	3	7	812	168	57	19	56.189117	Exon
5	1	1	1	3	8	877	167	14	20	11.400299	3
4	1	1	1	4	0	641	219	220	86	-1.0	
5	1	1	1	4	1	641	219	28	86	93.310326	|
5	1	1	1	4	2	681	242	52	18	96.444008	RNA
5	1	1	1	4	3	740	242	121	24	96.102722	processing
4	1	1	1	5	0	490	324	143	24	-1.0	
5	1	1	1	5	1	490	324	81	24	90.606285	Spliced
5	1	1	1	5	2	582	325	51	18	96.312935	RNA
4	1	1	1	6	0	494	357	274	33	-1.0	
5	1	1	1	6	1	494	360	57	20	95.506302	Exon
5	1	1	1	6	2	559	360	14	20	93.271942	1
5	1	1	1	6	3	582	357	97	33	57.540031	|Exon
5	1	1	1	6	4	657	353	25	41	57.540031	2)
5	1	1	1	6	5	690	361	56	19	92.42675	Exon
5	1	1	1	6	6	755	360	13	20	96.82634	3
4	1	1	1	7	0	349	399	609	24	-1.0	
5	1	1	1	7	1	349	399	17	19	83.315285	5'
5	1	1	1	7	2	375	403	39	20	90.44239	cap
5	1	1	1	7	3	848	399	73	24	92.876793	Poly-A
5	1	1	1	7	4	927	399	31	19	96.232246	tail
4	1	1	1	8	0	425	442	411	19	-1.0	
5	1	1	1	8	1	425	443	17	18	95.103249	5
5	1	1	1	8	2	451	442	138	19	95.146004	untranslated
5	1	1	1	8	3	672	442	17	19	74.370438	3
5	1	1	1	8	4	698	442	138	19	96.135529	untranslated
4	1	1	1	9	0	425	470	315	24	-1.0	
5	1	1	1	9	1	425	470	68	24	96.92141	region
5	1	1	1	9	2	672	470	68	24	96.684303	region
4	1	1	1	10	0	54	507	1196	23	-1.0	
5	1	1	1	10	1	54	507	72	23	96.556458	Figure
5	1	1	1	10	2	137	508	58	17	95.990036	15.11
5	1	1	1	10	3	207	507	110	23	96.491615	Eukaryotic
5	1	1	1	10	4	328	508	70	17	96.718079	mRNA
5	1	1	1	10	5	407	507	88	18	96.79924	contains
5	1	1	1	10	6	507	507	70	18	96.71273	introns
5	1	1	1	10	7	587	507	40	18	96.81855	that
5	1	1	1	10	8	638	509	50	16	96.784065	must
5	1	1	1	10	9	699	507	25	18	96.787827	be
5	1	1	1	10	10	735	507	72	23	96.873711	spliced
5	1	1	1	10	11	819	509	37	16	96.278931	out.
5	1	1	1	10	12	867	508	17	17	93.24604	A
5	1	1	1	10	13	893	508	17	17	90.671669	5'
5	1	1	1	10	14	921	512	37	18	96.881004	cap
5	1	1	1	10	15	969	507	38	18	92.175941	and
5	1	1	1	10	16	1018	508	17	17	89.056259	3'
5	1	1	1	10	17	1046	507	67	23	92.944321	poly-A
5	1	1	1	10	18	1123	507	29	18	96.996841	tail
5	1	1	1	10	19	1163	512	33	13	96.906982	are
5	1	1	1	10	20	1207	507	43	18	96.031837	also
4	1	1	1	11	0	54	535	71	18	-1.0	
5	1	1	1	11	1	54	535	71	18	95.880249	added.
4	1	1	1	12	0	53	589	1196	24	-1.0	
5	1	1	1	12	1	53	590	18	17	96.295959	A
5	1	1	1	12	2	80	590	82	17	96.295959	scientist
5	1	1	1	12	3	170	589	68	24	96.923882	splices
5	1	1	1	12	4	247	595	10	12	96.923882	a
5	1	1	1	12	5	265	589	106	24	96.801193	eukaryotic
5	1	1	1	12	6	379	592	93	21	96.823547	promoter
5	1	1	1	12	7	480	590	19	17	96.984657	in
5	1	1	1	12	8	507	589	49	18	96.753845	front
5	1	1	1	12	9	564	589	21	18	96.759506	of
5	1	1	1	12	10	593	595	10	12	96.759506	a
5	1	1	1	12	11	611	589	87	18	95.93528	bacterial
5	1	1	1	12	12	706	594	47	19	95.93528	gene
5	1	1	1	12	13	762	589	36	18	96.816093	and
5	1	1	1	12	14	805	590	66	17	96.884583	inserts
5	1	1	1	12	15	879	589	30	18	96.97348	the
5	1	1	1	12	16	918	594	46	19	96.953857	gene
5	1	1	1	12	17	973	590	19	17	96.869568	in
5	1	1	1	12	18	1000	595	11	12	96.869568	a
5	1	1	1	12	19	1018	589	87	18	96.635727	bacterial
5	1	1	1	12	20	1114	589	135	18	96.164261	chromosome.
4	1	1	1	13	0	53	620	562	24	-1.0	
5	1	1	1	13	1	53	620	67	18	96.530312	Would
5	1	1	1	13	2	127	626	37	18	96.554909	you
5	1	1	1	13	3	171	623	66	21	96.934784	expect
5	1	1	1	13	4	243	620	30	18	96.934784	the
5	1	1	1	13	5	280	620	101	18	96.880859	bacterium
5	1	1	1	13	6	388	623	18	15	96.970665	to
5	1	1	1	13	7	414	620	99	18	96.171463	transcribe
5	1	1	1	13	8	520	620	30	18	96.966904	the
5	1	1	1	13	9	558	621	57	23	96.939766	gene?
4	1	1	1	14	0	116	663	842	24	-1.0	
5	1	1	1	14	1	116	669	15	12	88.09346	a.
5	1	1	1	14	2	155	663	80	24	88.09346	Initially
5	1	1	1	14	3	241	663	30	18	96.987457	the
5	1	1	1	14	4	278	663	101	18	96.963905	bacterium
