level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1776	964	-1.0	
2	1	1	0	0	0	105	57	1556	850	-1.0	
3	1	1	1	0	0	330	57	1331	233	-1.0	
4	1	1	1	1	0	396	57	167	17	-1.0	
5	1	1	1	1	1	396	59	13	12	67.648888	&
5	1	1	1	1	2	431	63	29	6	22.008486	ip
5	1	1	1	1	3	530	57	33	17	51.274052	vag
4	1	1	1	2	0	401	77	169	24	-1.0	
5	1	1	1	2	1	401	87	1	3	9.491501	+)
5	1	1	1	2	2	530	77	40	24	37.086212	PA
4	1	1	1	3	0	358	93	204	42	-1.0	
5	1	1	1	3	1	358	93	158	42	25.073151	«7e
5	1	1	1	3	2	537	102	25	19	53.323578	2
4	1	1	1	4	0	336	120	1288	47	-1.0	
5	1	1	1	4	1	336	120	68	44	50.913452	KE
5	1	1	1	4	2	437	137	58	30	52.20293	DE
5	1	1	1	4	3	543	138	26	19	43.563583	£9
5	1	1	1	4	4	823	133	106	27	96.523705	Supreme
5	1	1	1	4	5	939	133	72	20	96.565918	Court
5	1	1	1	4	6	1428	133	50	20	51.945114	US.
5	1	1	1	4	7	1488	138	136	15	96.37352	encounters
4	1	1	1	5	0	330	161	1289	39	-1.0	
5	1	1	1	5	1	330	166	15	34	61.398121	e
5	1	1	1	5	2	357	174	52	20	44.510933	10
5	1	1	1	5	3	462	185	4	4	81.02375	À
5	1	1	1	5	4	478	161	37	38	60.665443	go
5	1	1	1	5	5	527	181	14	18	31.24054	J
5	1	1	1	5	6	838	167	82	21	92.963768	strikes
5	1	1	1	5	7	929	167	65	21	95.878746	down
5	1	1	1	5	8	1431	167	115	21	90.57019	recession
5	1	1	1	5	9	1556	167	63	21	95.797699	when
4	1	1	1	6	0	362	177	1296	52	-1.0	
5	1	1	1	6	1	362	198	36	20	49.258575	F4
5	1	1	1	6	2	465	177	32	52	35.08823	本
5	1	1	1	6	3	508	198	16	17	16.570234	-
5	1	1	1	6	4	541	213	25	12	4.889021	od
5	1	1	1	6	5	838	202	41	26	96.905014	key
5	1	1	1	6	6	888	202	108	20	96.310905	elements
5	1	1	1	6	7	1392	206	146	22	96.071465	government
5	1	1	1	6	8	1546	202	112	26	96.455757	spending
4	1	1	1	7	0	340	229	1260	33	-1.0	
5	1	1	1	7	1	340	230	41	13	23.853096	sie
5	1	1	1	7	2	485	229	85	14	16.446991	ae
5	1	1	1	7	3	811	236	27	26	96.832565	of
5	1	1	1	7	4	844	236	37	20	96.706978	the
5	1	1	1	7	5	889	236	55	20	96.882072	New
5	1	1	1	7	6	952	236	69	24	95.890572	Deal;
5	1	1	1	7	7	1450	236	19	20	97.012993	is
5	1	1	1	7	8	1478	236	122	24	96.519829	curtailed;
4	1	1	1	8	0	347	270	1314	20	-1.0	
5	1	1	1	8	1	347	270	62	20	96.289825	First
5	1	1	1	8	2	417	270	54	20	96.586823	New
5	1	1	1	8	3	479	270	60	20	96.423195	Deal
5	1	1	1	8	4	872	270	90	20	96.222931	Second
5	1	1	1	8	5	1389	270	55	20	96.516457	Fair
5	1	1	1	8	6	1452	270	76	20	96.400116	Labor
5	1	1	1	8	7	1536	270	125	20	96.400116	Standards
3	1	1	2	0	0	338	304	1256	27	-1.0	
4	1	1	2	1	0	338	304	1256	27	-1.0	
5	1	1	2	1	1	338	304	130	27	96.097198	legislation
5	1	1	2	1	2	476	311	82	20	96.66243	passes
5	1	1	2	1	3	815	304	53	21	96.787537	New
5	1	1	2	1	4	878	304	59	21	96.161865	Deal
5	1	1	2	1	5	946	304	80	27	96.520447	begins
5	1	1	2	1	6	1463	304	43	21	96.432892	Act
5	1	1	2	1	7	1512	311	82	20	96.432892	passes
3	1	1	3	0	0	105	345	1469	552	-1.0	
4	1	1	3	1	0	404	345	1170	27	-1.0	
5	1	1	3	1	1	404	345	88	27	96.685677	1933
5	1	1	3	1	2	877	345	89	27	96.422234	1935
5	1	1	3	1	3	1486	345	88	27	96.630165	1938
4	1	1	3	2	0	212	418	1326	20	-1.0	
5	1	1	3	2	1	212	418	20	20	73.53286	e
5	1	1	3	2	2	439	418	20	20	55.026588	e
5	1	1	3	2	3	677	418	19	20	81.424644	e
5	1	1	3	2	4	912	418	20	20	80.403595	e
5	1	1	3	2	5	1195	418	20	20	79.920372	e
5	1	1	3	2	6	1518	418	20	20	86.089767	e
4	1	1	3	3	0	175	472	1078	26	-1.0	
5	1	1	3	3	1	175	472	88	26	96.041473	1932
5	1	1	3	3	2	642	472	89	26	95.862274	1934
5	1	1	3	3	3	1164	472	89	26	96.677429	1936
4	1	1	3	4	0	105	512	1226	21	-1.0	
5	1	1	3	4	1	105	512	108	21	96.890549	Franklin
5	1	1	3	4	2	222	512	123	21	96.70932	Roosevelt
5	1	1	3	4	3	580	512	110	21	95.952217	Southern
5	1	1	3	4	4	702	512	82	21	96.267761	Tenant
5	1	1	3	4	5	1077	512	122	21	96.742874	Roosevelt
5	1	1	3	4	6	1208	512	123	21	96.647484	re-elected
4	1	1	3	5	0	181	542	1112	35	-1.0	
5	1	1	3	5	1	181	542	88	35	96.352257	elected
5	1	1	3	5	2	585	546	106	21	96.184502	Farmers
5	1	1	3	5	3	702	546	74	21	96.184502	Union
5	1	1	3	5	4	1124	547	22	20	96.311562	in
5	1	1	3	5	5	1156	553	13	14	95.330872	a
5	1	1	3	5	6	1180	546	113	21	95.330872	landslide
4	1	1	3	6	0	165	577	579	35	-1.0	
5	1	1	3	6	1	165	577	118	35	95.029594	president
5	1	1	3	6	2	625	581	119	27	96.901741	organizes
4	1	1	3	7	0	121	631	1109	23	-1.0	
5	1	1	3	7	1	121	631	45	21	47.969414	(D
5	1	1	3	7	2	251	639	21	10	22.06378	ne
5	1	1	3	7	3	1226	653	4	1	20.259323	d
4	1	1	3	8	0	204	631	1060	53	-1.0	
5	1	1	3	8	1	112	631	47	54	24.620237	IS
5	1	1	3	8	2	204	631	157	53	4.190979	CIN
5	1	1	3	8	3	1261	679	3	4	70.586624	|
4	1	1	3	9	0	134	756	1108	22	-1.0	
5	1	1	3	9	1	134	756	23	6	2.564383	+
5	1	1	3	9	2	331	761	5	17	69.146744	:
5	1	1	3	9	3	709	762	56	16	62.688454	SK
5	1	1	3	9	4	1234	759	8	15	58.399063	F
4	1	1	3	10	0	127	787	1035	53	-1.0	
5	1	1	3	10	1	127	791	9	19	92.04789	J
5	1	1	3	10	2	187	787	68	44	43.360764	A2
5	1	1	3	10	3	319	788	21	22	70.975334	2
5	1	1	3	10	4	603	806	48	30	51.67915	tye
5	1	1	3	10	5	670	800	46	34	48.204163	LE
5	1	1	3	10	6	760	811	60	26	45.90023	pie
5	1	1	3	10	7	1104	807	58	33	25.617313	ee)
4	1	1	3	11	0	682	841	557	28	-1.0	
5	1	1	3	11	1	682	841	36	6	68.740479	=
5	1	1	3	11	2	1103	859	23	10	5.343218	=
5	1	1	3	11	3	1236	858	3	4	78.756226	;
4	1	1	3	12	0	1103	867	173	40	-1.0	
5	1	1	3	12	1	1103	867	22	40	77.010757	ul
5	1	1	3	12	2	1245	886	31	11	52.594116	2
