level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1650	422	-1.0	
2	1	1	0	0	0	10	33	1620	348	-1.0	
3	1	1	1	0	0	10	33	1620	168	-1.0	
4	1	1	1	1	0	12	33	229	24	-1.0	
5	1	1	1	1	1	12	33	109	24	94.005096	GRASP
5	1	1	1	1	2	133	33	108	24	94.005096	CHECK
4	1	1	1	2	0	10	75	1620	35	-1.0	
5	1	1	1	2	1	10	78	72	24	96.305504	What
5	1	1	1	2	2	90	78	55	24	12.185507	emf
5	1	1	1	2	3	148	79	20	23	12.185507	is
5	1	1	1	2	4	177	78	123	32	96.60804	produced
5	1	1	1	2	5	307	87	80	15	95.333389	across
5	1	1	1	2	6	396	87	14	15	93.973038	a
5	1	1	1	2	7	418	78	101	32	96.93737	straight
5	1	1	1	2	8	526	79	57	24	96.829895	wire
5	1	1	1	2	9	592	84	56	21	92.516273	0.50
5	1	1	1	2	10	662	87	12	15	92.516273	m
5	1	1	1	2	11	689	78	56	32	96.606773	long
5	1	1	1	2	12	753	79	98	31	96.915848	moving
5	1	1	1	2	13	859	85	24	17	96.603996	at
5	1	1	1	2	14	891	87	13	15	95.301399	a
5	1	1	1	2	15	910	78	101	32	95.301399	velocity
5	1	1	1	2	16	1017	78	30	24	96.827751	of
5	1	1	1	2	17	1051	81	41	26	96.827751	(1.5
5	1	1	1	2	18	1101	80	56	27	96.439888	m/s)
5	1	1	1	2	19	1166	75	19	27	93.145264	À
5	1	1	1	2	20	1192	78	106	32	96.250595	through
5	1	1	1	2	21	1306	87	14	15	96.92173	a
5	1	1	1	2	22	1327	78	107	24	96.410912	uniform
5	1	1	1	2	23	1443	79	121	31	96.849876	magnetic
5	1	1	1	2	24	1572	78	58	24	96.710495	field
4	1	1	1	3	0	12	122	1614	34	-1.0	
5	1	1	1	3	1	12	127	64	26	91.203537	(0.30
5	1	1	1	3	2	83	122	54	31	68.112465	T)Z?
5	1	1	1	3	3	144	124	45	24	96.486626	The
5	1	1	1	3	4	196	125	58	23	96.183937	wire
5	1	1	1	3	5	262	124	42	24	96.332069	lies
5	1	1	1	3	6	313	125	25	23	96.332069	in
5	1	1	1	3	7	345	124	41	24	96.508873	the
5	1	1	1	3	8	393	122	157	33	96.128044	y-direction.
5	1	1	1	3	9	559	124	61	29	96.952461	Also,
5	1	1	1	3	10	629	124	79	25	96.941025	which
5	1	1	1	3	11	716	124	48	24	96.762634	end
5	1	1	1	3	12	771	124	30	24	96.905045	of
5	1	1	1	3	13	804	124	40	24	96.320618	the
5	1	1	1	3	14	852	125	57	24	96.908958	wire
5	1	1	1	3	15	918	125	19	23	96.935028	is
5	1	1	1	3	16	946	131	24	17	96.140755	at
5	1	1	1	3	17	977	124	41	24	96.140755	the
5	1	1	1	3	18	1026	124	85	32	93.303085	higher
5	1	1	1	3	19	1119	124	179	32	90.24044	potential—let
5	1	1	1	3	20	1305	124	40	24	96.967934	the
5	1	1	1	3	21	1354	124	71	24	96.964058	lower
5	1	1	1	3	22	1432	124	49	24	96.654236	end
5	1	1	1	3	23	1488	124	30	24	96.743217	of
5	1	1	1	3	24	1520	124	41	24	96.229034	the
5	1	1	1	3	25	1568	125	58	23	97.013916	wire
4	1	1	1	4	0	11	169	548	32	-1.0	
5	1	1	1	4	1	11	169	29	24	96.852112	be
5	1	1	1	4	2	49	176	22	17	92.891731	at
5	1	1	1	4	3	78	176	38	25	80.572601	y=0
5	1	1	1	4	4	147	169	49	24	95.86161	and
5	1	1	1	4	5	203	169	40	24	96.004158	the
5	1	1	1	4	6	252	178	76	23	95.54496	upper
5	1	1	1	4	7	336	169	48	24	95.54496	end
5	1	1	1	4	8	392	176	24	17	93.283516	at
