level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1608	552	-1.0	
2	1	1	0	0	0	16	20	1571	483	-1.0	
3	1	1	1	0	0	16	20	1571	483	-1.0	
4	1	1	1	1	0	18	20	275	28	-1.0	
5	1	1	1	1	1	18	20	131	28	96.529243	GRASP
5	1	1	1	1	2	162	20	131	28	96.208488	CHECK
4	1	1	1	2	0	16	66	1517	32	-1.0	
5	1	1	1	2	1	16	66	64	24	96.141861	With
5	1	1	1	2	2	88	66	41	24	96.141861	the
5	1	1	1	2	3	137	66	72	24	96.63546	north
5	1	1	1	2	4	217	66	53	32	96.9814	pole
5	1	1	1	2	5	278	73	26	17	96.058731	to
5	1	1	1	2	6	311	66	41	24	96.058731	the
5	1	1	1	2	7	360	66	42	24	96.904922	left
5	1	1	1	2	8	410	66	49	24	96.649872	and
5	1	1	1	2	9	466	67	98	31	96.453964	moving
5	1	1	1	2	10	571	66	41	24	96.912567	the
5	1	1	1	2	11	620	73	99	25	96.591278	magnet
5	1	1	1	2	12	727	66	63	24	96.473793	from
5	1	1	1	2	13	799	66	63	32	96.854294	right
5	1	1	1	2	14	869	73	26	17	96.933189	to
5	1	1	1	2	15	903	66	49	29	96.758583	left,
5	1	1	1	2	16	962	75	14	15	95.92775	a
5	1	1	1	2	17	984	67	100	31	95.92775	positive
5	1	1	1	2	18	1091	66	93	32	96.628578	voltage
5	1	1	1	2	19	1193	67	19	23	96.938858	is
5	1	1	1	2	20	1221	66	123	32	96.558052	produced
5	1	1	1	2	21	1352	75	25	15	96.68322	as
5	1	1	1	2	22	1385	66	41	24	96.61338	the
5	1	1	1	2	23	1435	73	98	25	96.69841	magnet
4	1	1	1	3	0	17	111	1434	32	-1.0	
5	1	1	1	3	1	17	118	80	17	96.87291	enters
5	1	1	1	3	2	105	111	40	24	96.87291	the
5	1	1	1	3	3	154	111	52	24	96.435356	coil.
5	1	1	1	3	4	215	111	72	24	96.723854	What
5	1	1	1	3	5	295	112	54	31	96.930573	sign
5	1	1	1	3	6	356	111	92	32	96.931992	voltage
5	1	1	1	3	7	456	111	47	25	96.977219	will
5	1	1	1	3	8	510	111	29	24	96.905167	be
5	1	1	1	3	9	548	111	123	32	96.749634	produced
5	1	1	1	3	10	679	111	22	24	96.817146	if
5	1	1	1	3	11	704	111	40	24	96.865074	the
5	1	1	1	3	12	753	112	150	31	96.166534	experiment
5	1	1	1	3	13	911	112	19	23	96.166534	is
5	1	1	1	3	14	939	111	114	32	96.77784	repeated
5	1	1	1	3	15	1059	111	59	25	96.988434	with
5	1	1	1	3	16	1125	111	41	24	97.003403	the
5	1	1	1	3	17	1175	111	72	24	96.811058	south
5	1	1	1	3	18	1255	111	53	32	96.991592	pole
5	1	1	1	3	19	1316	118	25	17	96.971779	to
5	1	1	1	3	20	1349	111	40	24	96.861107	the
5	1	1	1	3	21	1398	111	53	24	96.1035	left?
4	1	1	1	4	0	28	156	1558	32	-1.0	
5	1	1	1	4	1	28	165	20	15	91.581367	a.
5	1	1	1	4	2	80	156	45	24	91.581367	The
5	1	1	1	4	3	134	157	53	31	96.19854	sign
5	1	1	1	4	4	195	156	30	24	96.53418	of
5	1	1	1	4	5	227	156	93	32	96.53418	voltage
5	1	1	1	4	6	327	156	47	24	96.890266	will
5	1	1	1	4	7	382	156	92	32	96.739204	change
5	1	1	1	4	8	482	156	102	24	96.975845	because
5	1	1	1	4	9	592	156	41	24	97.001801	the
5	1	1	1	4	10	641	156	118	24	96.824928	direction
5	1	1	1	4	11	767	156	30	24	96.943642	of
5	1	1	1	4	12	800	163	97	17	96.943642	current
5	1	1	1	4	13	905	156	55	24	96.439606	flow
5	1	1	1	4	14	966	156	47	24	96.738335	will
5	1	1	1	4	15	1021	156	92	32	96.512848	change
5	1	1	1	4	16	1121	156	30	32	96.954147	by
5	1	1	1	4	17	1158	157	98	31	96.495483	moving
5	1	1	1	4	18	1264	156	72	24	96.802574	south
5	1	1	1	4	19	1344	156	53	32	97.011436	pole
5	1	1	1	4	20	1405	156	30	24	96.959213	of
5	1	1	1	4	21	1438	156	40	24	96.462021	the
5	1	1	1	4	22	1487	163	99	25	96.917419	magnet
4	1	1	1	5	0	80	201	131	24	-1.0	
5	1	1	1	5	1	80	208	26	17	93.212349	to
5	1	1	1	5	2	113	201	41	24	93.212349	the
5	1	1	1	5	3	162	201	49	24	95.965775	left.
4	1	1	1	6	0	27	246	1535	32	-1.0	
5	1	1	1	6	1	27	246	21	24	83.206085	b.
5	1	1	1	6	2	80	246	45	24	87.642517	The
5	1	1	1	6	3	134	247	53	31	96.852592	sign
5	1	1	1	6	4	195	246	30	24	96.965599	of
5	1	1	1	6	5	227	246	93	32	96.729324	voltage
5	1	1	1	6	6	327	246	47	24	96.935379	will
5	1	1	1	6	7	383	247	92	23	96.92878	remain
5	1	1	1	6	8	484	255	66	15	96.676735	same
5	1	1	1	6	9	559	246	101	24	96.938507	because
5	1	1	1	6	10	668	246	41	24	96.870445	the
5	1	1	1	6	11	717	246	118	24	96.991867	direction
5	1	1	1	6	12	843	246	30	24	96.97641	of
5	1	1	1	6	13	876	253	97	17	97.002945	current
5	1	1	1	6	14	981	246	55	24	96.987511	flow
5	1	1	1	6	15	1042	246	47	24	96.496269	will
5	1	1	1	6	16	1098	253	42	17	96.899506	not
5	1	1	1	6	17	1148	246	92	32	96.738419	change
5	1	1	1	6	18	1248	246	30	32	96.976814	by
5	1	1	1	6	19	1285	247	98	31	96.951195	moving
5	1	1	1	6	20	1391	246	71	24	97.010925	south
5	1	1	1	6	21	1471	246	53	32	97.010925	pole
5	1	1	1	6	22	1532	246	30	24	96.936333	of
4	1	1	1	7	0	80	291	287	32	-1.0	
5	1	1	1	7	1	80	291	41	24	96.757935	the
5	1	1	1	7	2	130	298	99	25	96.261757	magnet
5	1	1	1	7	3	236	298	25	17	96.261757	to
5	1	1	1	7	4	269	291	40	24	96.555634	the
5	1	1	1	7	5	318	291	49	24	96.555634	left.
4	1	1	1	8	0	30	336	1473	32	-1.0	
5	1	1	1	8	1	30	345	18	15	91.571777	c.
5	1	1	1	8	2	80	336	45	24	72.351822	The
5	1	1	1	8	3	134	337	53	31	96.52227	sign
5	1	1	1	8	4	195	336	30	24	96.711769	of
5	1	1	1	8	5	227	336	93	32	96.590187	voltage
5	1	1	1	8	6	327	336	47	24	96.506805	will
5	1	1	1	8	7	382	336	92	32	96.394318	change
5	1	1	1	8	8	482	336	102	24	97.003181	because
5	1	1	1	8	9	592	336	41	24	96.771301	the
5	1	1	1	8	10	641	336	142	32	96.409348	magnitude
5	1	1	1	8	11	791	336	30	24	96.860962	of
5	1	1	1	8	12	824	343	97	17	96.724777	current
5	1	1	1	8	13	929	336	56	25	96.976288	flow
5	1	1	1	8	14	991	336	47	25	96.877609	will
5	1	1	1	8	15	1045	336	92	32	97.00576	change
5	1	1	1	8	16	1146	336	29	32	97.017967	by
5	1	1	1	8	17	1183	337	97	31	96.647362	moving
5	1	1	1	8	18	1288	336	72	24	96.899483	south
5	1	1	1	8	19	1369	336	52	32	96.998672	pole
5	1	1	1	8	20	1430	336	30	24	96.942894	of
5	1	1	1	8	21	1462	336	41	24	96.996864	the
4	1	1	1	9	0	81	381	237	32	-1.0	
5	1	1	1	9	1	81	388	99	25	95.24025	magnet
5	1	1	1	9	2	187	388	26	17	95.24025	to
5	1	1	1	9	3	220	381	41	24	95.569374	the
5	1	1	1	9	4	269	381	49	24	96.804482	left.
4	1	1	1	10	0	25	426	1562	32	-1.0	
5	1	1	1	10	1	25	426	23	24	92.793457	d.
5	1	1	1	10	2	80	426	45	24	79.947136	The
5	1	1	1	10	3	134	427	53	31	96.885963	sign
5	1	1	1	10	4	195	426	30	24	91.465157	of
5	1	1	1	10	5	227	426	93	32	96.353584	voltage
5	1	1	1	10	6	327	426	47	24	96.039154	will
5	1	1	1	10	7	383	427	92	23	96.567711	remain
5	1	1	1	10	8	484	435	66	15	96.626442	same
5	1	1	1	10	9	559	426	101	24	96.723976	because
5	1	1	1	10	10	668	426	41	24	96.839012	the
5	1	1	1	10	11	718	426	141	32	96.433228	magnitude
5	1	1	1	10	12	868	426	30	24	96.778725	of
5	1	1	1	10	13	901	433	96	17	95.931122	current
5	1	1	1	10	14	1005	426	56	25	96.964806	flow
5	1	1	1	10	15	1067	426	47	25	96.740639	will
5	1	1	1	10	16	1122	433	43	17	96.944397	not
5	1	1	1	10	17	1172	426	92	32	96.544701	change
5	1	1	1	10	18	1272	426	30	32	96.727898	by
5	1	1	1	10	19	1309	427	98	31	96.938347	moving
5	1	1	1	10	20	1415	426	72	24	96.997391	south
5	1	1	1	10	21	1495	426	53	32	96.95533	pole
5	1	1	1	10	22	1557	426	30	24	96.956085	of
4	1	1	1	11	0	80	471	287	32	-1.0	
5	1	1	1	11	1	80	471	41	24	96.757935	the
5	1	1	1	11	2	130	478	99	25	96.261757	magnet
5	1	1	1	11	3	236	478	25	17	96.261757	to
5	1	1	1	11	4	269	471	40	24	96.555634	the
5	1	1	1	11	5	318	471	49	24	96.555634	left.
