level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2400	1643	-1.0	
2	1	1	0	0	0	4	485	2371	772	-1.0	
3	1	1	1	0	0	4	485	2371	682	-1.0	
4	1	1	1	1	0	4	485	2106	130	-1.0	
5	1	1	1	1	1	4	485	249	130	50.094482	KX}
5	1	1	1	1	2	299	556	57	55	79.581108	%
5	1	1	1	1	3	1460	596	21	13	28.313131	3
5	1	1	1	1	4	1954	520	156	70	55.361374	<>
4	1	1	1	2	0	128	594	2247	97	-1.0	
5	1	1	1	2	1	58	611	196	80	54.387894	Ai
5	1	1	1	2	2	254	613	195	69	48.935883	Ze
5	1	1	1	2	3	793	594	240	78	96.863213	Border
5	1	1	1	2	4	1252	594	302	78	74.468407	Controle
5	1	1	1	2	5	1998	620	204	70	58.906216	ove
5	1	1	1	2	6	2343	620	32	63	50.300388	;
4	1	1	1	3	0	66	673	2237	153	-1.0	
5	1	1	1	3	1	66	683	204	128	65.747849	a
5	1	1	1	3	2	334	673	131	153	23.726925	ce
5	1	1	1	3	3	794	681	365	70	90.921333	Inspection
5	1	1	1	3	4	1250	680	320	56	96.128571	frontalier
5	1	1	1	3	5	2080	687	9	20	81.328674	\
5	1	1	1	3	6	2280	749	23	5	26.591825	J
4	1	1	1	4	0	69	974	1440	193	-1.0	
5	1	1	1	4	1	69	1007	62	115	41.206783	i
5	1	1	1	4	2	268	974	186	193	36.282608	8S
5	1	1	1	4	3	729	1086	63	35	57.420177	se
5	1	1	1	4	4	856	1014	273	102	42.03537	sm
5	1	1	1	4	5	2033	1015	117	103	46.725368	A
3	1	1	2	0	0	256	1219	668	39	-1.0	
4	1	1	2	1	0	379	1219	545	38	-1.0	
5	1	1	2	1	1	379	1219	99	31	55.567421	—
5	1	1	2	1	2	659	1232	19	25	65.823296	4
