level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4433	7000	-1.0	
2	1	1	0	0	0	2	1546	4431	5443	-1.0	
3	1	1	1	0	0	2	1667	4431	5322	-1.0	
4	1	1	1	1	0	2395	1667	21	78	-1.0	
5	1	1	1	1	1	2395	1667	21	78	64.465378	|
4	1	1	1	2	0	2112	3654	861	488	-1.0	
5	1	1	1	2	1	2112	3717	624	396	24.617134	picted
5	1	1	1	2	2	2811	3654	162	488	46.605968	,
4	1	1	1	3	0	1803	4927	2442	307	-1.0	
5	1	1	1	3	1	1803	4927	785	307	91.36956	Personn
5	1	1	1	3	2	3891	5080	354	138	46.439587	a
4	1	1	1	4	0	1809	5479	2501	88	-1.0	
5	1	1	1	4	1	1809	5484	93	83	68.247978	ARTY,
5	1	1	1	4	2	4228	5479	82	10	13.215237	LE
4	1	1	1	5	0	132	5473	3982	251	-1.0	
5	1	1	1	5	1	132	5658	206	15	48.447571	171
5	1	1	1	5	2	760	5637	185	14	36.628384	ree
5	1	1	1	5	3	1704	5517	177	179	73.665611	NG
5	1	1	1	5	4	1876	5520	97	154	25.244875	Ù
5	1	1	1	5	5	2046	5558	150	102	47.629883	U.S.
5	1	1	1	5	6	2223	5534	391	107	94.849533	Customs
5	1	1	1	5	7	2647	5473	227	251	35.87989	eo
4	1	1	1	6	0	97	5654	2710	187	-1.0	
5	1	1	1	6	1	97	5762	31	55	70.952316	|
5	1	1	1	6	2	398	5685	1209	139	0.0	feRAlILRREEE
5	1	1	1	6	3	1701	5654	270	187	49.818634	NEY:
5	1	1	1	6	4	2044	5677	293	117	93.291504	Border
5	1	1	1	6	5	2375	5655	432	109	71.471809	Protectlo
4	1	1	1	7	0	175	5787	4258	103	-1.0	
5	1	1	1	7	1	88	5787	125	92	75.843292	11
5	1	1	1	7	2	734	5796	675	94	0.0	eittiis
5	1	1	1	7	3	1510	5790	95	90	65.224678	|
5	1	1	1	7	4	1716	5795	232	90	35.548016	Ss
4	1	1	1	8	0	723	6073	3639	157	-1.0	
5	1	1	1	8	1	605	6083	599	147	0.0	PALETTE
5	1	1	1	8	2	1379	6096	6	70	0.0	I
5	1	1	1	8	3	1527	6088	122	88	26.039896	EE
5	1	1	1	8	4	1704	6075	381	106	0.0	Pete
5	1	1	1	8	5	2232	6093	229	85	0.0	iit
5	1	1	1	8	6	2757	6086	261	77	0.0	PEPE
5	1	1	1	8	7	3068	6073	273	138	0.0	PTR
5	1	1	1	8	8	3400	6096	174	84	10.875702	ETT
5	1	1	1	8	9	3630	6080	258	111	0.0	Tea
5	1	1	1	8	10	3962	6138	6	18	0.0	e
5	1	1	1	8	11	4036	6093	393	87	17.609882	etal
4	1	1	1	9	0	246	6608	4148	89	-1.0	
5	1	1	1	9	1	246	6611	227	68	24.031239	_@s
5	1	1	1	9	2	1128	6612	29	33	65.344254	4
5	1	1	1	9	3	1411	6613	8	12	17.112274	’
5	1	1	1	9	4	1866	6615	112	43	0.0	'*
5	1	1	1	9	5	2123	6620	196	46	70.366272	LE
5	1	1	1	9	6	2901	6686	3	4	96.426422	|
5	1	1	1	9	7	3415	6682	13	15	26.533384	'
5	1	1	1	9	8	3747	6608	10	82	51.530724	|
5	1	1	1	9	9	3817	6622	20	38	21.286427	|
5	1	1	1	9	10	4379	6624	15	42	51.957493	E
4	1	1	1	10	0	86	6625	4311	223	-1.0	
5	1	1	1	10	1	86	6667	266	173	37.897102	2:
5	1	1	1	10	2	518	6661	239	113	69.507118	‘10
5	1	1	1	10	3	1008	6640	236	159	62.905922	111
5	1	1	1	10	4	1481	6625	405	205	26.380859	Jar
5	1	1	1	10	5	2015	6688	298	160	54.350632	WH
5	1	1	1	10	6	3079	6752	3	8	90.32872	|
5	1	1	1	10	7	3426	6699	2	2	94.478416	|
5	1	1	1	10	8	3648	6657	206	124	43.458744	bhi
5	1	1	1	10	9	4056	6655	43	110	0.0	i
5	1	1	1	10	10	4392	6694	5	12	96.537125	|
4	1	1	1	11	0	9	6748	4403	202	-1.0	
5	1	1	1	11	1	9	6796	518	81	0.0	1204,
5	1	1	1	11	2	792	6780	328	170	46.480976	PS.
5	1	1	1	11	3	1471	6843	26	44	50.144234	i
5	1	1	1	11	4	1933	6748	487	159	34.21957	Peery
5	1	1	1	11	5	2814	6750	543	170	31.651592	hihi
5	1	1	1	11	6	3655	6774	366	91	48.908012	WIN
5	1	1	1	11	7	4313	6772	99	100	91.21402	4
4	1	1	1	12	0	2	6840	4340	149	-1.0	
5	1	1	1	12	1	2	6882	80	104	8.431234	#
5	1	1	1	12	2	289	6863	238	84	35.787666	sZt
5	1	1	1	12	3	798	6915	82	55	47.269035	ri
5	1	1	1	12	4	976	6872	139	117	79.349693	1.
5	1	1	1	12	5	1173	6872	39	94	87.179741	t
5	1	1	1	12	6	1474	6917	101	36	51.004211	™
5	1	1	1	12	7	1840	6899	24	40	16.18906	a
5	1	1	1	12	8	1928	6924	29	40	28.149576	«
5	1	1	1	12	9	2118	6900	195	52	24.552126	pia
5	1	1	1	12	10	3084	6922	13	10	0.0	:
5	1	1	1	12	11	3254	6874	82	79	90.785728	+
5	1	1	1	12	12	3421	6884	74	76	32.886162	4
5	1	1	1	12	13	3824	6840	36	110	0.0	!
5	1	1	1	12	14	4156	6876	15	31	25.876198	1
5	1	1	1	12	15	4309	6856	33	85	26.03014	*
